Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
HW546503,9403147,11/24/2013 03:00:00 PM,038XX N HAMLIN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1732,39,6,1150335,1925258,2013,11/29/2013 11:58:17 AM,41.950813833,-87.722777273,"(41.950813833, -87.722777273)"
HW543967,9402223,11/22/2013 02:20:00 PM,016XX N TROY ST,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1421,26,6,1155137,1910569,2013,11/29/2013 11:38:29 AM,41.910410865,-87.705520712,"(41.910410865, -87.705520712)"
HW545435,9402303,11/23/2013 03:00:00 PM,036XX N HALSTED ST,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,1925,46,6,1170311,1924508,2013,11/29/2013 11:28:04 AM,41.948341826,-87.649368962,"(41.948341826, -87.649368962)"
HW545434,9402340,11/22/2013 09:30:00 PM,049XX N MONITOR AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1622,45,6,1136221,1932552,2013,11/29/2013 11:02:34 AM,41.971093456,-87.774485321,"(41.971093456, -87.774485321)"
HW545526,9402360,11/23/2013 04:30:00 PM,026XX N CLYBOURN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1931,32,6,1163652,1917372,2013,11/29/2013 09:52:55 AM,41.928903452,-87.674047729,"(41.928903452, -87.674047729)"
HW545669,9402471,11/23/2013 02:00:00 PM,042XX W WILCOX ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1115,28,6,1147890,1898953,2013,11/29/2013 10:30:36 AM,41.878677784,-87.732442491,"(41.878677784, -87.732442491)"
HW545694,9402498,11/22/2013 12:01:00 AM,050XX N SPAULDING AVE,810,THEFT,OVER $500,COLLEGE/UNIVERSITY RESIDENCE HALL,FALSE,FALSE,1713,39,6,1153435,1933083,2013,11/29/2013 11:55:48 AM,41.972224974,-87.711172949,"(41.972224974, -87.711172949)"
HW545584,9402577,11/23/2013 05:55:00 PM,053XX N BROADWAY,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,FALSE,2023,48,6,1167383,1935799,2013,11/29/2013 11:44:23 AM,41.979388345,-87.659805388,"(41.979388345, -87.659805388)"
HW545983,9402741,11/23/2013 11:14:00 PM,008XX N ST LOUIS AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,1121,27,6,1152931,1905455,2013,11/29/2013 11:02:52 AM,41.896421592,-87.713760444,"(41.896421592, -87.713760444)"
HW544625,9401779,11/22/2013 10:30:00 PM,015XX N DAMEN AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1424,1,6,1162756,1909864,2013,11/29/2013 11:41:06 AM,41.908319854,-87.677551208,"(41.908319854, -87.677551208)"
HW544568,9401857,11/22/2013 09:20:00 PM,022XX W DEVON AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2413,50,6,1160116,1942410,2013,11/29/2013 11:51:02 AM,41.997682869,-87.686346667,"(41.997682869, -87.686346667)"
HW544870,9401949,11/22/2013 05:00:00 PM,041XX W BELMONT AVE,890,THEFT,FROM BUILDING,CONSTRUCTION SITE,FALSE,FALSE,1731,31,6,1148072,1920993,2013,11/29/2013 11:31:31 AM,41.939154256,-87.731206124,"(41.939154256, -87.731206124)"
HW545140,9402157,11/22/2013 09:30:00 PM,023XX W NORTH AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1424,1,6,1160628,1910547,2013,11/29/2013 11:13:41 AM,41.910238436,-87.685349457,"(41.910238436, -87.685349457)"
HW543886,9401297,11/21/2013 10:30:00 PM,020XX W BARRY AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1931,32,6,1162369,1920545,2013,11/29/2013 11:00:13 AM,41.937637332,-87.678673303,"(41.937637332, -87.678673303)"
HW544188,9401351,11/21/2013 01:00:00 PM,006XX W OAKDALE AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1934,44,6,1171148,1919892,2013,11/29/2013 11:03:42 AM,41.935656975,-87.646428311,"(41.935656975, -87.646428311)"
HW544104,9401405,11/21/2013 09:45:00 AM,052XX W GRAND AVE,810,THEFT,OVER $500,ALLEY,FALSE,FALSE,2515,37,6,1141162,1912949,2013,11/29/2013 08:54:24 AM,41.917211064,-87.756801324,"(41.917211064, -87.756801324)"
HW544091,9401406,11/21/2013 11:00:00 AM,051XX W CRYSTAL ST,810,THEFT,OVER $500,ALLEY,FALSE,FALSE,2533,37,6,1141536,1907870,2013,11/29/2013 11:19:34 AM,41.903266815,-87.755552925,"(41.903266815, -87.755552925)"
HW544084,9401407,11/21/2013 10:00:00 AM,051XX W GRAND AVE,810,THEFT,OVER $500,ALLEY,FALSE,FALSE,2522,37,6,1141494,1912876,2013,11/29/2013 11:31:55 AM,41.917004614,-87.755583343,"(41.917004614, -87.755583343)"
HW544072,9401590,11/16/2013 06:50:00 AM,008XX S KEDVALE AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1132,24,6,1148811,1895909,2013,11/29/2013 10:47:00 AM,41.870306952,-87.72913941,"(41.870306952, -87.72913941)"
HW547260,9404533,11/25/2013 10:30:00 AM,024XX W DIVISION ST,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1423,26,6,1159822,1907944,2013,11/29/2013 08:37:16 AM,41.903112269,-87.688382285,"(41.903112269, -87.688382285)"
HW548063,9404657,11/24/2013 04:00:00 PM,017XX N MOZART ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1421,1,6,1157185,1911734,2013,11/29/2013 08:26:02 AM,41.913566339,-87.697965414,"(41.913566339, -87.697965414)"
HW547306,9403997,11/24/2013 09:30:00 PM,074XX N OAKLEY AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2411,49,6,1159707,1949050,2013,11/29/2013 11:41:41 AM,42.015911702,-87.687667013,"(42.015911702, -87.687667013)"
HW547363,9404050,11/22/2013 06:00:00 PM,069XX N BELL AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2411,50,6,1160137,1946201,2013,11/29/2013 10:30:00 AM,42.008085058,-87.686164004,"(42.008085058, -87.686164004)"
